ID,Mes,Ano,Suburbano,Nacional,Internacional,Total
1,Janeiro,2021,123217,42817,47,166081
2,Fevereiro,2021,72016,28643,0,100659
3,Marco,2021,77832,64645,0,142477
4,Janeiro,2020,246980,149710,7419,404109
14,Fevereiro,2020,234582,144762,7231,386575
15,Marco,2020,129229,51997,887,182113
16,Abril,2020,20560,5466,0,26026
17,Maio,2020,71044,31152,0,102196
18,Junho,2020,101863,53199,0,155062
19,Julho,2020,138400,69996,0,208396
20,Agosto,2020,133318,87792,70,221181
21,Setembro,2020,157002,81315,111,238428
22,Outubro,2020,164797,75692,120,240608
23,Novembro,2020,143385,52791,64,196240
24,Dezembro,2020,132160,59101,71,191332
25,Janeiro,2019,210001,135647,5374,351022
26,Fevereiro,2019,196173,136677,9087,341937
27,Marco,2019,201708,160139,8490,370337
28,Abril,2019,237424,170959,6881,415264
29,Maio,2019,242088,188058,14695,444841
30,Junho,2019,219175,181145,13575,413895
31,Julho,2019,238365,207577,14015,459958
32,Agosto,2019,220218,200452,11885,432555
33,Setembro,2019,262616,188405,10545,461566
34,Outubro,2019,281248,180473,7888,469609
35,Novembro,2019,243138,156103,8835,408075
36,Dezembro,2019,237447,151422,6089,394957
37,Janeiro,2018,197681,146532,8138,352351
38,Fevereiro,2018,182187,133732,8060,323979
39,Marco,2018,192517,158977,8341,359835
40,Abril,2018,201416,160974,10077,372467 
41,Maio,2018,215707,181052,11468,408226
42,Junho,2018,192178,171588,12770,376536
43,Julho,2018,198228,210364,14445,423037
44,Agosto,2018,179938,190862,11397,382196
45,Setembro,2018,213655,182148,9960,405763
46,Outubro,2018,222338,158723,7474,388535 
47,Novembro,2018,209102,147866,7736,364704
48,Dezembro,2018,191509,134770,5885,332164
49,Janeiro,2017,188604,134864,7721,331189
50,Fevereiro,2017,168291,126868,8437,303596
51,Marco,2017,200109,154853,10463,365425
52,Abril,2017,187502,162634,7654,357790
53,Maio,2017,208974,176134,14184,399292
54,Junho,2017,185157,174187,15464,374808
55,Julho,2017,179680,196886,16005,392571
56,Agosto,2017,176086,193248,11953,381287
57,Setembro,2017,207731,179004,10152,396887
58,Outubro,2017,216896,172842,7744,397482
59,Novembro,2017,192095,155758,9032,356885
60,Dezembro,2017,180039,148199,6621,334859
61,Janeiro,2016,170399,122573,7621,300593
62,Fevereiro,2016,173605,121150,8782,303537
63,Marco,2016,182140,148453,8775,339368
64,Abril,2016,179334,146759,7744,333837
65,Maio,2016,192416,167610,13851,373877
66,Junho,2016,177837,163621,13873,355331
67,Julho,2016,170682,183436,14556,368674
68,Agosto,2016,163124,183001,10973,357098
69,Setembro,2016,199400,169045,9961,378406
70,Outubro,2016,199064,157975,8785,365824
71,Novembro,2016,194407,146198,8217,348822
72,Dezembro,2016,171462,142446,6841,320749
73,Janeiro,2015,170063,120594,6674,297331
74,Fevereiro,2015,161679,111967,6868,280514
75,Marco,2015,184163,140770,9564,334497
76,Abril,2015,173404,127874,8245,309523
77,Maio,2015,182436,149324,9569,341329
78,Junho,2015,174010,154909,16700,345619
79,Julho,2015,167812,17577,15419,354808
80,Agosto,2015,149707,170633,9611,329951
81,Setembro,2015,190937,158504,12791,362232
82,Outubro,2015,193420,149621,8954,351995
83,Novembro,2015,187982,134005,8527,330514
84,Dezembro,2015,161458,131196,6698,299352
85,Janeiro,2014,172533,114768,6962,294263
86,Fevereiro,2014,163674,111240,7446,282360
87,Marco,2014,180225,130086,9092,319403
88,Abril,2014,170558,136109,7723,314390
89,Maio,2014,186436,144870,11445,342751
90,Junho,2014,166786,139894,14103,320783
91,Julho,2014,168411,162514,16371,347296
92,Agosto,2014,143884,161821,11382,317087
93,Setembro,2014,196783,148363,11050,356196
94,Outubro,2014,201449,145466,8669,355584
95,Novembro,2014,173158,129486,8755,311399
96,Dezembro,2014,158340,124807,6866,290013
97,Janeiro,2013,175866,105618,4871,286355
98,Fevereiro,2013,160214,100308,6055,266577
99,Marco,2013,162619,112292,7087,281998
100,Abril,2013,183616,119292,7361,310269
101,Maio,2013,185955,133406,9189,328550
102,Junho,2013,161725,125666,11603,298994
103,Julho,2013,163399,146159,13898,323456
104,Agosto,2013,140502,147783,9829,298114
105,Setembro,2013,187557,139842,8079,335478
106,Outubro,2013,199003,134963,7582,341548
107,Novembro,2013,174544,113861,6423,294828
108,Dezembro,2013,156523,121039,5654,283216
109,Janeiro,2012,218568,118604,4150,341322
110,Fevereiro,2012,172440,108378,5289,286107
111,Marco,2012,189852,121902,6230,317984
112,Abril,2012,173251,152301,12870,338422
113,Maio,2012,153245,143619,10539,307403
114,Junho,2012,188406,136583,7333,332322
115,Julho,2012,173251,152301,12870,338422
116,Agosto,2012,153245,143619,10539,307403
117,Setembro,2012,188406,136583,7333,332322
118,Outubro,2012,199060,120659,6457,326176
119,Novembro,2012,186670,112066,4984,303720
120,Dezembro,2012,155513,110595,5221,271329
121,Janeiro,2011,214605,130440,4671,349716
122,Fevereiro,2011,196578,110342,4694,311614
123,Marco,2011,218059,119663,6642,344364
124,Abril,2011,196028,134785,7000,337813
125,Maio,2011,227454,143780,8136,379370
126,Junho,2011,199096,134997,11348,345441
127,Julho,2011,195590,169727,15713,381030
128,Agosto,2011,170674,157399,11704,339777
129,Setembro,2011,210447,147389,7598,365434
130,Outubro,2011,215758,143759,6208,365725
131,Novembro,2011,198788,111214,4739,314741
132,Dezembro,2011,182679,120559,5197,308435
133,Janeiro,2010,185966,133192,5304,324462
134,Fevereiro,2010,173515,124443,5420,303378
135,Marco,2010,199612,143187,8429,351228
136,Abril,2010,190766,135324,10114,336204
137,Maio,2010,201528,159851,10586,371965
138,Junho,2010,183041,142136,11444,336621
139,Julho,2010,175617,163504,15352,354473
140,Agosto,2010,163115,165943,14941,343999
141,Setembro,2010,202271,155670,8277,366218
142,Outubro,2010,198720,153027,6476,358223
143,Novembro,2010,199808,132214,5678,337700
144,Dezembro,2010,182718,142970,6318,332006
